,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,freq,Frequency
18,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2018,2018-01-01,1644862.86,1644862.86,A,Annual
19,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),10.A,Broad Money (M2) - Quasi Money - Savings Deposits - Rupiah - Annual,2019,2019-01-01,NA,,A,Annual
20,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2010,2010-01-01,52605.11,52605.11,A,Annual
21,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2011,2011-01-01,55915.45,55915.45,A,Annual
22,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2012,2012-01-01,63426.36,63426.36,A,Annual
23,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2013,2013-01-01,84329.67,84329.67,A,Annual
24,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2014,2014-01-01,90334.07,90334.07,A,Annual
25,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2015,2015-01-01,115787.42,115787.42,A,Annual
26,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2016,2016-01-01,126878.73,126878.73,A,Annual
27,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2017,2017-01-01,118326.3,118326.3,A,Annual
28,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2018,2018-01-01,124435.72,124435.72,A,Annual
29,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),11.A,Broad Money (M2) - Quasi Money - Savings Deposits - Foreign Currency - Annual,2019,2019-01-01,NA,,A,Annual
30,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2010,2010-01-01,139179.67,139179.67,A,Annual
31,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2011,2011-01-01,153320.38,153320.38,A,Annual
32,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2012,2012-01-01,182340.87,182340.87,A,Annual
33,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2013,2013-01-01,242416.04,242416.04,A,Annual
34,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2014,2014-01-01,245004.92,245004.92,A,Annual
35,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2015,2015-01-01,272677.91,272677.91,A,Annual
36,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2016,2016-01-01,259419.53,259419.53,A,Annual
37,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2017,2017-01-01,247373.64,247373.64,A,Annual
38,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2018,2018-01-01,279283.53,279283.53,A,Annual
39,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2019,2019-01-01,NA,,A,Annual
40,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2010,2010-01-01,9074.99,9074.99,A,Annual
41,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2011,2011-01-01,14388.1,14388.1,A,Annual
42,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2012,2012-01-01,10420.42,10420.42,A,Annual
43,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2013,2013-01-01,22805.32,22805.32,A,Annual
44,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2014,2014-01-01,21629.93,21629.93,A,Annual
45,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2015,2015-01-01,13399.06,13399.06,A,Annual
46,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2016,2016-01-01,13525.09,13525.09,A,Annual
47,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2017,2017-01-01,18362.25,18362.25,A,Annual
48,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2018,2018-01-01,20532.73,20532.73,A,Annual
49,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2019,2019-01-01,NA,,A,Annual
50,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2010,2010-01-01,2471205.79,2471205.79,A,Annual
51,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2011,2011-01-01,2877219.57,2877219.57,A,Annual
52,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2012,2012-01-01,3307507.55,3307507.55,A,Annual
53,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2013,2013-01-01,3730409.35,3730409.35,A,Annual
54,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2014,2014-01-01,4173326.5,4173326.5,A,Annual
55,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2015,2015-01-01,4548800.27,4548800.27,A,Annual
56,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2016,2016-01-01,5004976.79,5004976.79,A,Annual
57,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2017,2017-01-01,5419165.05,5419165.05,A,Annual
58,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2018,2018-01-01,5760046.2,5760046.2,A,Annual
59,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2019,2019-01-01,NA,,A,Annual
60,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2010,2010-01-01,865121.42,865121.42,A,Annual
61,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2011,2011-01-01,912174.17,912174.17,A,Annual
62,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2012,2012-01-01,965441.97,965441.97,A,Annual
63,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2013,2013-01-01,1011360.64,1011360.64,A,Annual
64,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2014,2014-01-01,1105782.87,1105782.87,A,Annual
65,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2015,2015-01-01,1176638.43,1176638.43,A,Annual
66,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2016,2016-01-01,1298938.08,1298938.08,A,Annual
67,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2017,2017-01-01,1541837.97,1541837.97,A,Annual
68,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2018,2018-01-01,1442601.78,1442601.78,A,Annual
69,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2019,2019-01-01,NA,,A,Annual
70,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2010,2010-01-01,1033085.77,1033085.77,A,Annual
71,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2011,2011-01-01,1134951.37,1134951.37,A,Annual
72,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2012,2012-01-01,1270700.55,1270700.55,A,Annual
73,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2013,2013-01-01,1442896.37,1442896.37,A,Annual
74,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2014,2014-01-01,1596103.4,1596103.4,A,Annual
75,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2015,2015-01-01,1741210.87,1741210.87,A,Annual
76,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2016,2016-01-01,1838278.32,1838278.32,A,Annual
77,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2017,2017-01-01,2073388.72,2073388.72,A,Annual
78,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2018,2018-01-01,2051431.64,2051431.64,A,Annual
79,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2019,2019-01-01,NA,,A,Annual
80,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2010,2010-01-01,167964.35,167964.35,A,Annual
81,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2011,2011-01-01,222777.2,222777.2,A,Annual
82,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2012,2012-01-01,305258.58,305258.58,A,Annual
83,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2013,2013-01-01,431535.72,431535.72,A,Annual
84,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2014,2014-01-01,490320.53,490320.53,A,Annual
85,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2015,2015-01-01,564572.44,564572.44,A,Annual
86,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2016,2016-01-01,539340.24,539340.24,A,Annual
87,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2017,2017-01-01,531550.75,531550.75,A,Annual
88,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2018,2018-01-01,608829.86,608829.86,A,Annual
89,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2019,2019-01-01,NA,,A,Annual
90,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2010,2010-01-01,1606084.37,1606084.37,A,Annual
91,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2011,2011-01-01,1965045.4,1965045.4,A,Annual
92,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2012,2012-01-01,2342065.58,2342065.58,A,Annual
93,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2013,2013-01-01,2719048.7,2719048.7,A,Annual
94,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2014,2014-01-01,3067543.63,3067543.63,A,Annual
95,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2015,2015-01-01,3372161.84,3372161.84,A,Annual
96,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2016,2016-01-01,3706038.7,3706038.7,A,Annual
97,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2017,2017-01-01,3877327.08,3877327.08,A,Annual
98,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2018,2018-01-01,4317444.42,4317444.42,A,Annual
99,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2019,2019-01-01,NA,,A,Annual
100,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2010,2010-01-01,368717.16,368717.16,A,Annual
101,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2011,2011-01-01,351177.33,351177.33,A,Annual
102,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2012,2012-01-01,389826.5,389826.5,A,Annual
103,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2013,2013-01-01,406610.61,406610.61,A,Annual
104,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2014,2014-01-01,416608.2,416608.2,A,Annual
105,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2015,2015-01-01,491127.2,491127.2,A,Annual
106,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2016,2016-01-01,519065.06,519065.06,A,Annual
107,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2017,2017-01-01,488862.44,488862.44,A,Annual
108,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2018,2018-01-01,472728.73,472728.73,A,Annual
109,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2019,2019-01-01,NA,,A,Annual
110,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2010,2010-01-01,605410.53,605410.53,A,Annual
111,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2011,2011-01-01,722991.17,722991.17,A,Annual
112,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2012,2012-01-01,841652.12,841652.12,A,Annual
113,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2013,2013-01-01,887083.5,887083.5,A,Annual
114,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2014,2014-01-01,942221.34,942221.34,A,Annual
115,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2015,2015-01-01,1055439.82,1055439.82,A,Annual
116,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2016,2016-01-01,1237642.57,1237642.57,A,Annual
117,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2017,2017-01-01,1390806.95,1390806.95,A,Annual
118,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2018,2018-01-01,1457149.68,1457149.68,A,Annual
119,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2019,2019-01-01,NA,,A,Annual
120,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),20.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Claims on Central Goverment - Annual,2010,2010-01-01,514143.03,514143.03,A,Annual
121,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),20.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Claims on Central Goverment - Annual,2011,2011-01-01,515795.01,515795.01,A,Annual
122,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),20.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Claims on Central Goverment - Annual,2012,2012-01-01,530898.43,530898.43,A,Annual
