,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,freq,Frequency,REF_AREA
30,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2010,2010-01-01,139179.67,139179.67,A,Annual,IDN
31,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2011,2011-01-01,153320.38,153320.38,A,Annual,IDN
32,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2012,2012-01-01,182340.87,182340.87,A,Annual,IDN
33,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2013,2013-01-01,242416.04,242416.04,A,Annual,IDN
34,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2014,2014-01-01,245004.92,245004.92,A,Annual,IDN
35,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2015,2015-01-01,272677.91,272677.91,A,Annual,IDN
36,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2016,2016-01-01,259419.53,259419.53,A,Annual,IDN
37,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2017,2017-01-01,247373.64,247373.64,A,Annual,IDN
38,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2018,2018-01-01,279283.53,279283.53,A,Annual,IDN
39,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),12.A,Broad Money (M2) - Quasi Money - Foreign Currency Demand Deposits - Annual,2019,2019-01-01,NA,,A,Annual,IDN
40,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2010,2010-01-01,9074.99,9074.99,A,Annual,IDN
41,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2011,2011-01-01,14388.1,14388.1,A,Annual,IDN
42,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2012,2012-01-01,10420.42,10420.42,A,Annual,IDN
43,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2013,2013-01-01,22805.32,22805.32,A,Annual,IDN
44,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2014,2014-01-01,21629.93,21629.93,A,Annual,IDN
45,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2015,2015-01-01,13399.06,13399.06,A,Annual,IDN
46,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2016,2016-01-01,13525.09,13525.09,A,Annual,IDN
47,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2017,2017-01-01,18362.25,18362.25,A,Annual,IDN
48,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2018,2018-01-01,20532.73,20532.73,A,Annual,IDN
49,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),13.A,Broad Money (M2) - Securities Other Than Shares - Annual,2019,2019-01-01,NA,,A,Annual,IDN
50,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2010,2010-01-01,2471205.79,2471205.79,A,Annual,IDN
51,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2011,2011-01-01,2877219.57,2877219.57,A,Annual,IDN
52,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2012,2012-01-01,3307507.55,3307507.55,A,Annual,IDN
53,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2013,2013-01-01,3730409.35,3730409.35,A,Annual,IDN
54,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2014,2014-01-01,4173326.5,4173326.5,A,Annual,IDN
55,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2015,2015-01-01,4548800.27,4548800.27,A,Annual,IDN
56,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2016,2016-01-01,5004976.79,5004976.79,A,Annual,IDN
57,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2017,2017-01-01,5419165.05,5419165.05,A,Annual,IDN
58,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2018,2018-01-01,5760046.2,5760046.2,A,Annual,IDN
59,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),14.A,Factors Affecting Broad Money - Annual,2019,2019-01-01,NA,,A,Annual,IDN
60,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2010,2010-01-01,865121.42,865121.42,A,Annual,IDN
61,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2011,2011-01-01,912174.17,912174.17,A,Annual,IDN
62,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2012,2012-01-01,965441.97,965441.97,A,Annual,IDN
63,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2013,2013-01-01,1011360.64,1011360.64,A,Annual,IDN
64,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2014,2014-01-01,1105782.87,1105782.87,A,Annual,IDN
65,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2015,2015-01-01,1176638.43,1176638.43,A,Annual,IDN
66,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2016,2016-01-01,1298938.08,1298938.08,A,Annual,IDN
67,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2017,2017-01-01,1541837.97,1541837.97,A,Annual,IDN
68,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2018,2018-01-01,1442601.78,1442601.78,A,Annual,IDN
69,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),15.A,Factors Affecting Broad Money - Net Foreign Assets - Annual,2019,2019-01-01,NA,,A,Annual,IDN
70,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2010,2010-01-01,1033085.77,1033085.77,A,Annual,IDN
71,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2011,2011-01-01,1134951.37,1134951.37,A,Annual,IDN
72,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2012,2012-01-01,1270700.55,1270700.55,A,Annual,IDN
73,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2013,2013-01-01,1442896.37,1442896.37,A,Annual,IDN
74,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2014,2014-01-01,1596103.4,1596103.4,A,Annual,IDN
75,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2015,2015-01-01,1741210.87,1741210.87,A,Annual,IDN
76,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2016,2016-01-01,1838278.32,1838278.32,A,Annual,IDN
77,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2017,2017-01-01,2073388.72,2073388.72,A,Annual,IDN
78,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2018,2018-01-01,2051431.64,2051431.64,A,Annual,IDN
79,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),16.A,Factors Affecting Broad Money - Net Foreign Assets - Claims on Non_Residents - Annual,2019,2019-01-01,NA,,A,Annual,IDN
80,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2010,2010-01-01,167964.35,167964.35,A,Annual,IDN
81,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2011,2011-01-01,222777.2,222777.2,A,Annual,IDN
82,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2012,2012-01-01,305258.58,305258.58,A,Annual,IDN
83,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2013,2013-01-01,431535.72,431535.72,A,Annual,IDN
84,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2014,2014-01-01,490320.53,490320.53,A,Annual,IDN
85,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2015,2015-01-01,564572.44,564572.44,A,Annual,IDN
86,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2016,2016-01-01,539340.24,539340.24,A,Annual,IDN
87,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2017,2017-01-01,531550.75,531550.75,A,Annual,IDN
88,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2018,2018-01-01,608829.86,608829.86,A,Annual,IDN
89,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),17.A,Factors Affecting Broad Money - Net Foreign Assets - Liabilities to Non_Residents - Annual,2019,2019-01-01,NA,,A,Annual,IDN
90,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2010,2010-01-01,1606084.37,1606084.37,A,Annual,IDN
91,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2011,2011-01-01,1965045.4,1965045.4,A,Annual,IDN
92,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2012,2012-01-01,2342065.58,2342065.58,A,Annual,IDN
93,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2013,2013-01-01,2719048.7,2719048.7,A,Annual,IDN
94,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2014,2014-01-01,3067543.63,3067543.63,A,Annual,IDN
95,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2015,2015-01-01,3372161.84,3372161.84,A,Annual,IDN
96,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2016,2016-01-01,3706038.7,3706038.7,A,Annual,IDN
97,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2017,2017-01-01,3877327.08,3877327.08,A,Annual,IDN
98,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2018,2018-01-01,4317444.42,4317444.42,A,Annual,IDN
99,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),18.A,Factors Affecting Broad Money - Net Domestic Assets - Annual,2019,2019-01-01,NA,,A,Annual,IDN
100,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2010,2010-01-01,368717.16,368717.16,A,Annual,IDN
101,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2011,2011-01-01,351177.33,351177.33,A,Annual,IDN
102,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2012,2012-01-01,389826.5,389826.5,A,Annual,IDN
103,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2013,2013-01-01,406610.61,406610.61,A,Annual,IDN
104,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2014,2014-01-01,416608.2,416608.2,A,Annual,IDN
105,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2015,2015-01-01,491127.2,491127.2,A,Annual,IDN
106,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2016,2016-01-01,519065.06,519065.06,A,Annual,IDN
107,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2017,2017-01-01,488862.44,488862.44,A,Annual,IDN
108,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2018,2018-01-01,472728.73,472728.73,A,Annual,IDN
109,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),19.A,Factors Affecting Broad Money - Net Claims on Central Goverment - Annual,2019,2019-01-01,NA,,A,Annual,IDN
110,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2010,2010-01-01,605410.53,605410.53,A,Annual,IDN
111,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2011,2011-01-01,722991.17,722991.17,A,Annual,IDN
112,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2012,2012-01-01,841652.12,841652.12,A,Annual,IDN
113,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2013,2013-01-01,887083.5,887083.5,A,Annual,IDN
114,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2014,2014-01-01,942221.34,942221.34,A,Annual,IDN
115,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2015,2015-01-01,1055439.82,1055439.82,A,Annual,IDN
116,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2016,2016-01-01,1237642.57,1237642.57,A,Annual,IDN
117,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2017,2017-01-01,1390806.95,1390806.95,A,Annual,IDN
118,annual,BI,TABEL1_1,I.1. BROAD MONEY AND ITS AFFECTING FACTORS (Billions of Rp),2.A,Broad Money (M2) - Narrow Money (M1) - Annual,2018,2018-01-01,1457149.68,1457149.68,A,Annual,IDN
